age,StateName,"(1.0, 1.0)","(1.0, 2.0)","(1.0, 3.0)","(1.0, 4.0)","(1.0, 5.0)","(1.0, 6.0)","(1.0, 7.0)","(1.0, 8.0)","(2.0, 1.0)","(2.0, 2.0)","(2.0, 3.0)","(2.0, 4.0)","(2.0, 5.0)","(2.0, 6.0)","(2.0, 7.0)","(2.0, 8.0)","('TotalPOP', '')","('key', '')"
61,Idaho,9672,10215,74,57,133,168,139,203,668,632,7,8,50,34,14,16,22090,3124
72,New Mexico,6396,6733,164,161,483,657,130,214,3103,3720,15,32,119,108,21,15,22071,3704
23,West Virginia,10185,9693,666,527,28,27,217,188,234,241,22,12,0,6,1,8,22055,1222
80,Colorado,8256,10040,292,354,50,72,214,365,997,1270,12,14,26,39,10,12,22023,4086
84,Tennessee,7948,11397,703,1432,29,30,93,142,101,131,0,6,4,3,2,1,22022,4327
83,Wisconsin,8822,11820,263,407,45,51,111,139,111,203,9,4,2,5,5,2,21999,4283
64,Idaho,9692,10372,77,46,130,132,129,186,547,551,13,12,31,30,10,6,21964,3277
82,Minnesota,9128,11681,137,276,50,63,150,240,90,122,5,7,5,1,6,0,21961,4206
61,New Hampshire,10187,10801,102,90,39,38,145,175,151,157,21,15,6,5,5,3,21940,3141
57,New Hampshire,10020,10557,164,119,23,27,240,274,215,221,31,22,9,7,3,4,21936,2937
73,West Virginia,10058,11050,235,242,30,22,56,70,59,63,4,0,2,0,0,1,21892,3772
48,Nebraska,8738,8749,625,519,79,90,319,333,1112,1065,36,42,67,56,23,15,21868,2476
57,Idaho,9283,9963,89,49,117,141,127,237,859,847,16,13,63,37,10,15,21866,2920
47,West Virginia,10230,10274,410,326,28,21,92,114,178,155,13,8,6,1,2,1,21859,2446
58,New Hampshire,10126,10580,122,93,35,33,191,248,173,191,18,13,6,9,5,6,21849,2988
78,Oklahoma,8234,10352,424,593,632,734,107,160,246,301,6,10,19,13,3,3,21837,4015
1,Idaho,8458,7952,206,175,142,127,230,205,1908,1857,58,54,175,197,49,40,21833,64
56,New Hampshire,9975,10373,158,133,35,28,226,262,208,280,24,13,6,9,4,4,21738,2886
45,West Virginia,10165,10022,477,347,32,20,92,110,226,188,16,9,6,0,2,1,21713,2344
